,images,labels
43045,b'mako_shark_s_000356.png',1
43046,b'morchella_esculenta_s_000048.png',4
43056,b'television_s_002118.png',5
43063,b'milk_can_s_001327.png',3
43066,b'navel_orange_s_001304.png',4
43067,b'pear_s_000024.png',4
43068,b'goblet_s_001454.png',3
43071,b'tv_s_000007.png',5
43073,b'tangerine_s_000001.png',4
43074,b'television_system_s_001627.png',5
43077,b'computer_keyboard_s_000572.png',5
43081,b'sunflower_s_002417.png',2
43082,b'tulip_s_000555.png',2
43083,b'electric_lamp_s_000187.png',5
43084,b'telephone_set_s_000057.png',5
43089,b'whiskey_bottle_s_000125.png',3
43093,b'soda_can_s_000313.png',3
43106,b'tulip_s_001109.png',2
43107,b'orchid_s_000596.png',2
43109,b'saucer_s_000829.png',3
43119,b'morchella_esculenta_s_000896.png',4
43126,b'mackerel_shark_s_000636.png',1
43127,b'shark_s_001039.png',1
43129,b'shortfin_mako_s_000126.png',1
43136,b'lamp_s_001434.png',5
43158,b'electric_lamp_s_000215.png',5
43163,b'rainbow_trout_s_001947.png',1
43164,b'stingray_s_002320.png',1
43169,b'plaice_s_000381.png',1
43170,b'navel_orange_s_000003.png',4
43175,b'clock_s_000334.png',5
43177,b'bell_pepper_s_000952.png',4
43179,b'golden_delicious_s_001783.png',4
43180,b'water_bottle_s_000456.png',3
43181,b'bell_pepper_s_001088.png',4
43187,b'poppy_s_000258.png',2
43189,b'butterfly_orchid_s_001122.png',2
43191,b'halibut_s_000521.png',1
43192,b'lady_tulip_s_000455.png',2
43194,b'goblet_s_000806.png',3
43197,b'plate_iron_s_000635.png',3
43202,b'red_delicious_s_001329.png',4
43209,b'tulip_s_001058.png',2
43210,b'red_delicious_s_002038.png',4
43213,b'cichlid_fish_s_000433.png',1
43216,b'golden_delicious_s_000578.png',4
43217,b'tv_s_002382.png',5
43219,b'golden_delicious_s_001789.png',4
43226,b'lamna_nasus_s_000189.png',1
43233,b'telephone_set_s_001235.png',5
43234,b'bell_pepper_s_001364.png',4
43241,b'bell_pepper_s_000551.png',4
43243,b'lady_tulip_s_000006.png',2
43248,b'fishbowl_s_001407.png',3
43249,b'sunflower_s_001619.png',2
43250,b'guitarfish_s_001072.png',1
43251,b'beer_can_s_002776.png',3
43253,b'shark_s_002288.png',1
43255,b'pear_s_002174.png',4
43256,b'bowl_s_001528.png',3
43257,b'plate_s_000128.png',3
43264,b'beaker_s_002205.png',3
43271,b'mushroom_s_000013.png',4
43278,b'morchella_esculenta_s_000033.png',4
43284,b'saucer_s_001164.png',3
43288,b'bartlett_pear_s_000439.png',4
43293,b'sunflower_s_001896.png',2
43294,b'goblet_s_001585.png',3
43295,b'bowl_s_000407.png',3
43300,b'shark_s_001560.png',1
43301,b'goblet_s_000724.png',3
43309,b'shark_s_000067.png',1
43312,b'mushroom_s_000845.png',4
43313,b'fishbowl_s_000325.png',3
43314,b'bartlett_pear_s_000004.png',4
43320,b'sunflower_s_000323.png',2
43321,b'bowl_s_000166.png',3
43325,b'orchid_s_000211.png',2
43332,b'whiskey_bottle_s_000223.png',3
43340,b'bowl_s_000041.png',3
43346,b'clock_s_002128.png',5
43347,b'shortfin_mako_s_000186.png',1
43350,b'shark_s_000995.png',1
43354,b'rose_s_000715.png',2
43360,b'plate_s_000708.png',3
43361,b'bell_pepper_s_000982.png',4
43362,b'mushroom_s_001197.png',4
43363,b'golden_delicious_s_001295.png',4
43367,b'bosc_s_000048.png',4
43369,b'cichlid_s_001131.png',1
43377,b'bowl_s_001556.png',3
43385,b'cup_s_000834.png',3
43390,b'bell_pepper_s_001460.png',4
43394,b'television_s_000452.png',5
43397,b'lamp_s_002042.png',5
43401,b'tin_can_s_001348.png',3
43403,b'television_s_002920.png',5
43404,b'oilcan_s_001207.png',3
43418,b'poppy_s_001833.png',2
43419,b'flatfish_s_001339.png',1
43423,b'orchid_s_000190.png',2
43426,b'electric_lamp_s_000648.png',5
43429,b'sunflower_s_000114.png',2
43430,b'trout_s_000001.png',1
43432,b'sea_trout_s_000407.png',1
43433,b'rose_s_002129.png',2
43435,b'tv_s_002263.png',5
43442,b'sunflower_s_000751.png',2
43443,b'butterfly_orchid_s_001916.png',2
43448,b'goldfish_s_000220.png',1
43453,b'sunflower_s_000906.png',2
43457,b'lamp_s_002041.png',5
43458,b'cup_s_000827.png',3
43460,b'rainbow_trout_s_001230.png',1
43470,b'rosebush_s_000785.png',2
43471,b'alarm_clock_s_001112.png',5
43477,b'cichlid_s_000928.png',1
43479,b'flounder_s_002262.png',1
43480,b'surveillance_system_s_000745.png',5
43488,b'rainbow_trout_s_001051.png',1
43492,b'bowl_s_002517.png',3
43495,b'dessert_plate_s_000423.png',3
43497,b'television_system_s_001653.png',5
43503,b'sour_orange_s_000869.png',4
43519,b'navel_orange_s_000008.png',4
43522,b'goldfish_s_001204.png',1
43529,b'telephone_set_s_000051.png',5
43530,b'mcintosh_s_000045.png',4
43539,b'rainbow_trout_s_000162.png',1
43544,b'sweet_pepper_s_001573.png',4
43546,b'orchid_s_001602.png',2
43553,b'mushroom_s_000793.png',4
43554,b'television_s_002011.png',5
43560,b'mushroom_s_001839.png',4
43562,b'clock_s_002222.png',5
43564,b'clock_s_000002.png',5
43566,b'alarm_clock_s_000589.png',5
43575,b'eating_apple_s_000717.png',4
43578,b'rose_s_000763.png',2
43580,b'mushroom_s_000562.png',4
43582,b'ketchup_bottle_s_000933.png',3
43584,b'golden_delicious_s_001414.png',4
43589,b'fishbowl_s_001179.png',3
43597,b'tv_s_000666.png',5
43599,b'fishbowl_s_000770.png',3
43601,b'trout_s_002175.png',1
43606,b'sunflower_s_001110.png',2
43610,b'lamp_s_001719.png',5
43613,b'halibut_s_000050.png',1
43615,b'sweet_pepper_s_001182.png',4
43616,b'bell_pepper_s_000852.png',4
43617,b'television_s_001478.png',5
43622,b'pear_s_001028.png',4
43624,b'discharge_lamp_s_000872.png',5
43635,b'stingray_s_000053.png',1
43639,b'goblet_s_000699.png',3
43642,b'electric_lamp_s_000590.png',5
43647,b'bell_pepper_s_000745.png',4
43652,b'tv_s_000861.png',5
43663,b'poppy_s_001206.png',2
43664,b'tulip_s_002278.png',2
43670,b'goldfish_s_000769.png',1
43674,b'butterfly_orchid_s_000871.png',2
43676,b'telephone_set_s_000542.png',5
43681,b'tulipa_clusiana_s_000034.png',2
43691,b'macoun_s_001494.png',4
43693,b'gray_sole_s_000029.png',1
43696,b'tulip_s_001193.png',2
43699,b'sunflower_s_001121.png',2
43700,b'fishplate_s_000243.png',3
43703,b'rushlight_s_000560.png',5
43707,b'bosc_s_000182.png',4
43711,b'telephone_set_s_001063.png',5
43715,b'mackerel_shark_s_001151.png',1
43723,b'telephone_set_s_001382.png',5
43724,b'carassius_auratus_s_000225.png',1
43727,b'orchid_s_000692.png',2
43728,b'rainbow_trout_s_001714.png',1
43737,b'rainbow_trout_s_000297.png',1
43746,b'butterfly_orchid_s_000951.png',2
43750,b'dessert_plate_s_000039.png',3
43752,b'bosc_s_000332.png',4
43754,b'bowl_s_002211.png',3
43755,b'electric_lamp_s_000053.png',5
43760,b'whiskey_bottle_s_000336.png',3
43763,b'lamp_s_000899.png',5
43765,b'sunflower_s_002063.png',2
43773,b'sweet_pepper_s_001683.png',4
43776,b'goblet_s_001265.png',3
43777,b'computer_keyboard_s_001217.png',5
43781,b'butterfly_ray_s_000202.png',1
43788,b'butterfly_orchid_s_001536.png',2
43793,b'rainbow_trout_s_000255.png',1
43797,b'tulip_s_001993.png',2
43800,b'orchid_s_000032.png',2
43809,b'clock_s_000472.png',5
43819,b'sweet_orange_s_000295.png',4
43821,b'telephone_set_s_000055.png',5
43824,b'alarm_clock_s_001085.png',5
43826,b'plate_s_002959.png',3
43828,b'poppy_s_000336.png',2
43829,b'poppy_s_000446.png',2
43830,b'sunflower_s_000920.png',2
43833,b'electric_lamp_s_000653.png',5
43836,b'morel_s_001135.png',4
43842,b'trout_s_001399.png',1
43844,b'stingray_s_001982.png',1
43849,b'clock_s_000513.png',5
43853,b'goblet_s_001041.png',3
43859,b'keyboard_s_000006.png',5
43864,b'butterfly_orchid_s_000880.png',2
43866,b'sunflower_s_000255.png',2
43867,b'bell_pepper_s_000903.png',4
43874,b'telephone_s_000908.png',5
43877,b'bartlett_pear_s_000240.png',4
43880,b'stingray_s_001720.png',1
43882,b'carassius_auratus_s_000009.png',1
43885,b'stovepipe_iron_s_000003.png',3
43886,b'cichlid_s_000581.png',1
43891,b'phone_s_002518.png',5
43898,b'tv_s_001656.png',5
43908,b'electric_lamp_s_000026.png',5
43909,b'flounder_s_001612.png',1
43910,b'tulip_s_000746.png',2
43913,b'lamp_s_000525.png',5
43919,b'navel_orange_s_001182.png',4
43924,b'soda_bottle_s_000700.png',3
43933,b'goblet_s_001465.png',3
43937,b'tangerine_s_000024.png',4
43938,b'telephone_set_s_000031.png',5
43946,b'macoun_s_000969.png',4
43947,b'clock_s_001240.png',5
43948,b'desk_phone_s_000037.png',5
43949,b'shark_s_000738.png',1
43958,b'whiskey_bottle_s_000214.png',3
43960,b'poppy_s_001843.png',2
43964,b'poppy_s_001730.png',2
43968,b'lamp_s_000992.png',5
43970,b'television_s_000979.png',5
43972,b'soda_can_s_000860.png',3
43980,b'water_bottle_s_000281.png',3
43988,b'plaice_s_000528.png',1
43992,b'goblet_s_001281.png',3
43994,b'golden_delicious_s_000967.png',4
43995,b'plate_s_002405.png',3
44008,b'poppy_s_000953.png',2
44009,b'stingray_s_000557.png',1
44022,b'fishplate_s_000110.png',3
44026,b'electric_lamp_s_000153.png',5
44030,b'sunflower_s_001257.png',2
44033,b'lady_tulip_s_000230.png',2
44034,b'flounder_s_002752.png',1
44037,b'cichlid_s_000365.png',1
44039,b'soda_bottle_s_000082.png',3
44041,b'tangerine_s_000002.png',4
44046,b'keyboard_s_001786.png',5
44049,b'shark_s_001783.png',1
44053,b'tv_s_000433.png',5
44054,b'lady_tulip_s_000173.png',2
44055,b'bigarade_s_000005.png',4
44056,b'bowl_s_002324.png',3
44057,b'tangerine_s_000230.png',4
44075,b'red_delicious_s_000068.png',4
44077,b'pearmain_s_000252.png',4
44079,b'butterfly_orchid_s_000076.png',2
44081,b'poppy_s_000465.png',2
44085,b'computer_keyboard_s_000758.png',5
44088,b'trout_s_000211.png',1
44091,b'phone_s_000877.png',5
44094,b'stingray_s_002403.png',1
44103,b'valencia_orange_s_000164.png',4
44110,b'trout_s_001184.png',1
44112,b'sunflower_s_000481.png',2
44113,b'telephone_set_s_001441.png',5
44115,b'mountain_rose_s_000067.png',2
44124,b'poppy_s_001074.png',2
44126,b'rose_s_000068.png',2
44130,b'soda_can_s_000562.png',3
44134,b'mushroom_s_000250.png',4
44135,b'bowl_s_001432.png',3
44138,b'mushroom_s_002088.png',4
44144,b'plate_iron_s_000420.png',3
44148,b'cichlid_s_000179.png',1
44150,b'golden_delicious_s_001815.png',4
44151,b'sweet_pepper_s_001156.png',4
44154,b'mushroom_s_001397.png',4
44155,b'dessert_plate_s_000469.png',3
44157,b'tv_s_001574.png',5
44159,b'poppy_s_000243.png',2
44163,b'flounder_s_002141.png',1
44165,b'bowl_s_001675.png',3
44169,b'tulip_s_000221.png',2
44171,b'fishbowl_s_001367.png',3
44174,b'sour_orange_s_000539.png',4
44180,b'macoun_s_000551.png',4
44182,b'dessert_plate_s_000159.png',3
44190,b'butterfly_orchid_s_000066.png',2
44193,b'morchella_esculenta_s_000005.png',4
44196,b'poppy_s_001037.png',2
44198,b'bell_pepper_s_000851.png',4
44203,b'turbot_s_000044.png',1
44208,b'tulip_s_000063.png',2
44211,b'mako_shark_s_001975.png',1
44213,b'sunflower_s_000656.png',2
44216,b'electric_lamp_s_000619.png',5
44217,b'butterfly_orchid_s_000093.png',2
44221,b'goblet_s_001056.png',3
44222,b'bartlett_pear_s_000082.png',4
44238,b'rainbow_trout_s_001688.png',1
44250,b'orchid_s_001451.png',2
44260,b'sunflower_s_000678.png',2
44266,b'keyboard_s_000086.png',5
44267,b'poppy_s_000356.png',2
44270,b'mushroom_s_000953.png',4
44272,b'telephone_set_s_001002.png',5
44281,b'chalice_s_001220.png',3
44285,b'computer_keyboard_s_001093.png',5
44298,b'clock_s_000819.png',5
44309,b'sunflower_s_000823.png',2
44311,b'trout_s_000465.png',1
44315,b'computer_keyboard_s_001320.png',5
44317,b'television_s_001592.png',5
44326,b'rose_s_000351.png',2
44327,b'eating_apple_s_001361.png',4
44336,b'mushroom_s_001019.png',4
44339,b'television_s_000966.png',5
44340,b'bell_pepper_s_001670.png',4
44352,b'carassius_auratus_s_000155.png',1
44353,b'goblet_s_001113.png',3
44355,b'cichlid_s_001917.png',1
44356,b'telephone_set_s_001180.png',5
44358,b'citrus_aurantium_s_000059.png',4
44360,b'orchid_s_000111.png',2
44364,b'red_delicious_s_000006.png',4
44369,b'shark_s_000732.png',1
44375,b'chalice_s_002018.png',3
44376,b'oilcan_s_000600.png',3
44378,b'rainbow_trout_s_002224.png',1
44380,b'beer_can_s_001357.png',3
44385,b'mushroom_s_001535.png',4
44386,b'goldfish_s_000648.png',1
44391,b'goblet_s_001015.png',3
44392,b'dessert_plate_s_000376.png',3
44399,b'discharge_lamp_s_000884.png',5
44405,b'goblet_s_000702.png',3
44406,b'cichlid_s_000474.png',1
44417,b'sunflower_s_001139.png',2
44418,b'mushroom_s_000785.png',4
44419,b'rainbow_trout_s_000064.png',1
44425,b'soda_can_s_001751.png',3
44428,b'navel_orange_s_000312.png',4
44429,b'red_delicious_s_001342.png',4
44433,b'clock_s_000338.png',5
44434,b'cichlid_fish_s_000124.png',1
44439,b'mountain_rose_s_000694.png',2
44441,b'shark_s_000926.png',1
44443,b'cichlid_fish_s_001348.png',1
44450,b'apple_s_000536.png',4
44453,b'computer_keyboard_s_000585.png',5
44457,b'sweet_pepper_s_000240.png',4
44460,b'desk_phone_s_000208.png',5
44461,b'goldfish_s_002567.png',1
44469,b'stingray_s_002471.png',1
44471,b'lamp_s_000331.png',5
44472,b'alarm_clock_s_000103.png',5
44484,b'mushroom_s_000943.png',4
44493,b'poppy_s_000115.png',2
44495,b'bartlett_pear_s_000340.png',4
44496,b'dessert_plate_s_000092.png',3
44503,b'milk_can_s_000156.png',3
44509,b'computer_keyboard_s_001762.png',5
44513,b'sunflower_s_000672.png',2
44514,b'tulip_s_000464.png',2
44520,b'clock_s_002407.png',5
44522,b'tulip_s_002051.png',2
44523,b'sunflower_s_001150.png',2
44527,b'television_s_001945.png',5
44529,b'alarm_clock_s_000514.png',5
44535,b'bell_pepper_s_000651.png',4
44536,b'poppy_s_001681.png',2
44542,b'goblet_s_001116.png',3
44544,b'rose_s_002074.png',2
44545,b'navel_orange_s_000972.png',4
44555,b'dessert_plate_s_000010.png',3
44557,b'clock_s_000341.png',5
44560,b'poppy_s_001845.png',2
44562,b'bowl_s_001171.png',3
44567,b'lady_tulip_s_000007.png',2
44570,b'shark_s_001841.png',1
44572,b'television_s_001445.png',5
44582,b'clavier_s_000387.png',5
44584,b'plaice_s_000278.png',1
44588,b'television_s_000849.png',5
44589,b'poppy_s_001871.png',2
44596,b'clavier_s_000858.png',5
44597,b'rose_s_000439.png',2
44605,b'bowl_s_000649.png',3
44606,b'rose_s_002210.png',2
44611,b'cichlid_s_000650.png',1
44612,b'poppy_s_001816.png',2
44625,b'cichlid_s_001612.png',1
44630,b'navel_orange_s_000651.png',4
44632,b'anjou_s_000498.png',4
44642,b'rose_s_002050.png',2
44644,b'clavier_s_000735.png',5
44647,b'pear_s_000897.png',4
44654,b'carassius_auratus_s_000711.png',1
44656,b'navel_orange_s_000034.png',4
44659,b'orchid_s_000811.png',2
44672,b'sand_dab_s_000075.png',1
44686,b'numbfish_s_000086.png',1
44690,b'beer_bottle_s_001077.png',3
44693,b'cichlid_fish_s_001409.png',1
44697,b'sunflower_s_001157.png',2
44699,b'saucer_s_001442.png',3
44704,b'alarm_clock_s_000053.png',5
44711,b'bowl_s_000730.png',3
44712,b'tv_s_000795.png',5
44714,b'alarm_clock_s_000685.png',5
44717,b'tangerine_s_000026.png',4
44718,b'sunflower_s_002322.png',2
44721,b'clock_s_000010.png',5
44725,b'golden_delicious_s_000687.png',4
44727,b'sweet_pepper_s_000337.png',4
44733,b'trout_s_001791.png',1
44734,b'bowl_s_002267.png',3
44751,b'cup_s_001967.png',3
44752,b'bowl_s_002627.png',3
44753,b'goblet_s_000279.png',3
44758,b'soda_can_s_000662.png',3
44760,b'television_s_002648.png',5
44764,b'goblet_s_000236.png',3
44767,b'beaker_s_000404.png',3
44769,b'goblet_s_001698.png',3
44770,b'pear_s_000512.png',4
44774,b'poppy_s_001601.png',2
44775,b'goldfish_s_000954.png',1
44776,b'cichlid_s_001531.png',1
44778,b'desk_phone_s_000622.png',5
44781,b'orchid_s_001092.png',2
44786,b'fish_bowl_s_000088.png',3
44788,b'halibut_s_000145.png',1
44790,b'computer_keyboard_s_000873.png',5
44793,b'goblet_s_000869.png',3
44794,b'phone_s_002673.png',5
44797,b'trout_s_002178.png',1
44798,b'goldfish_s_002711.png',1
44805,b'television_system_s_001448.png',5
44807,b'surveillance_system_s_001384.png',5
44810,b'beer_bottle_s_001164.png',3
44816,b'shark_s_001536.png',1
44822,b'orchid_s_001542.png',2
44827,b'mushroom_s_002280.png',4
44830,b'mako_shark_s_001530.png',1
44832,b'whiskey_bottle_s_000349.png',3
44857,b'cichlid_s_002276.png',1
44866,b'mushroom_s_000661.png',4
44868,b'temple_orange_s_000260.png',4
44873,b'bowl_s_000046.png',3
44875,b'bowl_s_000731.png',3
44885,b'poppy_s_001585.png',2
44893,b'poppy_s_002171.png',2
44894,b'poppy_s_001587.png',2
44900,b'guitarfish_s_000210.png',1
44902,b'butterfly_ray_s_000846.png',1
44904,b'goblet_s_001026.png',3
44906,b'whiskey_bottle_s_000718.png',3
44909,b'sunflower_s_000447.png',2
44910,b'rose_s_001804.png',2
44912,b'lady_tulip_s_000047.png',2
44915,b'poppy_s_001048.png',2
44918,b'clock_s_001298.png',5
44926,b'tv_s_000931.png',5
44928,b'sunflower_s_000017.png',2
44929,b'bell_pepper_s_000304.png',4
44930,b'bartlett_pear_s_000143.png',4
44941,b'shark_s_002215.png',1
44946,b'rose_s_000192.png',2
44947,b'discharge_lamp_s_001197.png',5
44949,b'desk_phone_s_000028.png',5
44959,b'clock_s_001751.png',5
44971,b'mushroom_s_002494.png',4
44972,b'northern_spy_s_000692.png',4
44996,b'bell_pepper_s_000176.png',4
44998,b'sweet_pepper_s_001066.png',4
44999,b'television_system_s_000925.png',5
45001,b'tulipa_clusiana_s_000066.png',2
45004,b'fishplate_s_000456.png',3
45011,b'cichlid_s_001868.png',1
45038,b'keyboard_s_000500.png',5
45045,b'northern_spy_s_000207.png',4
45047,b'verpa_s_000043.png',4
45050,b'mushroom_s_002272.png',4
45053,b'bowl_s_001107.png',3
45055,b'plaice_s_000374.png',1
45056,b'pear_s_001141.png',4
45057,b'sweet_pepper_s_000275.png',4
45060,b'soda_can_s_000572.png',3
45062,b'goblet_s_001578.png',3
45064,b'sunflower_s_001904.png',2
45065,b'beer_can_s_000175.png',3
45072,b'computer_keyboard_s_000897.png',5
45073,b'goldfish_s_000906.png',1
45076,b'sunflower_s_000041.png',2
45077,b'red_delicious_s_000027.png',4
45079,b'mushroom_s_001288.png',4
45084,b'mackerel_shark_s_001122.png',1
45085,b'navel_orange_s_000959.png',4
45087,b'bottle_s_000537.png',3
45092,b'tulip_s_000391.png',2
45096,b'golden_delicious_s_001323.png',4
45097,b'whiskey_bottle_s_001093.png',3
45100,b'bell_pepper_s_001583.png',4
45103,b'bell_pepper_s_001380.png',4
45105,b'mushroom_s_001360.png',4
45109,b'computer_keyboard_s_000004.png',5
45110,b'plate_s_002138.png',3
45115,b'poppy_s_002372.png',2
45116,b'temple_orange_s_000054.png',4
45118,b'goldfish_s_000558.png',1
45122,b'bowl_s_000833.png',3
45127,b'bartlett_s_000400.png',4
45128,b'pop_bottle_s_001459.png',3
45129,b'goblet_s_000283.png',3
45131,b'computer_keyboard_s_000067.png',5
45133,b'seville_orange_s_000717.png',4
45137,b'desk_phone_s_000709.png',5
45141,b'phone_s_000024.png',5
45144,b'valencia_orange_s_000400.png',4
45146,b'keyboard_s_000662.png',5
45147,b'sunflower_s_001762.png',2
45149,b'lamp_s_002103.png',5
45150,b'soda_bottle_s_000626.png',3
45155,b'ketchup_bottle_s_000427.png',3
45158,b'pear_s_002227.png',4
45168,b'dessert_plate_s_000336.png',3
45170,b'rainbow_trout_s_000766.png',1
45171,b'mcintosh_s_000847.png',4
45187,b'phone_s_000706.png',5
45189,b'sunflower_s_000516.png',2
45193,b'pop_bottle_s_000186.png',3
45195,b'bowl_s_000706.png',3
45198,b'tulipa_clusiana_s_000047.png',2
45201,b'valencia_orange_s_001904.png',4
45207,b'bottle_s_000729.png',3
45208,b'poppy_s_000632.png',2
45209,b'cable_television_s_000393.png',5
45211,b'orchid_s_001026.png',2
45213,b'bartlett_s_000142.png',4
45216,b'bowl_s_001784.png',3
45226,b'bell_pepper_s_001285.png',4
45230,b'sweet_pepper_s_000110.png',4
45240,b'goblet_s_000966.png',3
45242,b'whiskey_bottle_s_000298.png',3
45243,b'saucer_s_000748.png',3
45245,b'goldfish_s_001353.png',1
45251,b'rainbow_trout_s_001659.png',1
45260,b'beaker_s_002042.png',3
45261,b'rainbow_trout_s_000135.png',1
45263,b'telephone_s_000605.png',5
45265,b'clock_s_002150.png',5
45281,b'bartlett_pear_s_000363.png',4
45285,b'computer_keyboard_s_001278.png',5
45286,b'halibut_s_000257.png',1
45290,b'beaker_s_000602.png',3
45298,b'telephone_set_s_000019.png',5
45299,b'phone_s_001136.png',5
45301,b'dessert_plate_s_000173.png',3
45306,b'phone_s_001512.png',5
45310,b'rosebush_s_001121.png',2
45313,b'bell_pepper_s_000008.png',4
45314,b'decanter_s_000316.png',3
45317,b'golden_delicious_s_000143.png',4
45323,b'dessert_plate_s_000392.png',3
45328,b'computer_keyboard_s_001445.png',5
45329,b'poppy_s_002439.png',2
45332,b'beer_bottle_s_001712.png',3
45342,b'mushroom_s_002270.png',4
45347,b'poppy_s_001030.png',2
45348,b'winter_flounder_s_000956.png',1
45352,b'poppy_s_000021.png',2
45353,b'chalice_s_000574.png',3
45357,b'soda_can_s_000001.png',3
45362,b'television_s_001287.png',5
45366,b'sunflower_s_000272.png',2
45370,b'golden_delicious_s_000283.png',4
45371,b'tulip_s_000597.png',2
45373,b'sunflower_s_001493.png',2
45375,b'red_delicious_s_001278.png',4
45377,b'dessert_plate_s_000271.png',3
45378,b'beer_bottle_s_000371.png',3
45380,b'shark_s_000524.png',1
45381,b'mountain_rose_s_000693.png',2
45385,b'clavier_s_001009.png',5
45388,b'clavier_s_000146.png',5
45389,b'flounder_s_000327.png',1
45395,b'tulipa_clusiana_s_000272.png',2
45397,b'tv_s_000272.png',5
45405,b'mushroom_s_000784.png',4
45407,b'rainbow_trout_s_000759.png',1
45413,b'pear_s_002067.png',4
45420,b'lamp_s_000215.png',5
45421,b'mushroom_s_000050.png',4
45422,b'goblet_s_001204.png',3
45427,b'rose_s_002113.png',2
45428,b'pear_s_002049.png',4
45429,b'dessert_plate_s_000343.png',3
45433,b'numbfish_s_000087.png',1
45435,b'goblet_s_000193.png',3
45440,b'goldfish_s_001636.png',1
45447,b'fishplate_s_000728.png',3
45462,b'orchid_s_000263.png',2
45466,b'yellow_delicious_s_000505.png',4
45471,b'mushroom_s_000897.png',4
45474,b'rose_s_000349.png',2
45478,b'alarm_clock_s_001116.png',5
45482,b'sunflower_s_001376.png',2
45492,b'shark_s_001046.png',1
45496,b'pearmain_s_000066.png',4
45503,b'rainbow_trout_s_000777.png',1
45511,b'bell_pepper_s_001011.png',4
45512,b'dessert_plate_s_000161.png',3
45516,b'butterfly_ray_s_000009.png',1
45525,b'orchid_s_000083.png',2
45526,b'fishbowl_s_000904.png',3
45527,b'dessert_plate_s_000284.png',3
45530,b'bartlett_pear_s_000216.png',4
45536,b'phone_s_000968.png',5
45540,b'orchid_s_001262.png',2
45541,b'shortfin_mako_s_000350.png',1
45542,b'cup_s_002220.png',3
45547,b'clavier_s_000440.png',5
45558,b'tv_s_001585.png',5
45561,b'clock_s_002256.png',5
45576,b'bell_pepper_s_001099.png',4
45584,b'orange_s_000075.png',4
45588,b'rose_s_001535.png',2
45595,b'discharge_lamp_s_001254.png',5
45599,b'tangerine_s_000434.png',4
45611,b'cup_s_001823.png',3
45612,b'plaice_s_000957.png',1
45616,b'golden_delicious_s_001036.png',4
45631,b'computer_keyboard_s_001642.png',5
45635,b'stingray_s_002331.png',1
45639,b'lamp_s_000074.png',5
45643,b'cichlid_s_000051.png',1
45656,b'sunflower_s_001490.png',2
45661,b'flounder_s_002389.png',1
45667,b'telephone_set_s_000801.png',5
45668,b'electric_ray_s_000353.png',1
45671,b'alarm_clock_s_000313.png',5
45674,b'clavier_s_000384.png',5
45682,b'golden_delicious_s_000066.png',4
45686,b'telephone_s_001086.png',5
45688,b'sunflower_s_001012.png',2
45695,b'sunflower_s_000512.png',2
45696,b'sweet_pepper_s_001270.png',4
45698,b'rosebush_s_001696.png',2
45699,b'clock_s_001542.png',5
45717,b'mcintosh_s_000079.png',4
45719,b'guitarfish_s_000716.png',1
45725,b'sweet_pepper_s_000342.png',4
45726,b'morchella_esculenta_s_001003.png',4
45729,b'lamp_s_002168.png',5
45732,b'poppy_s_002392.png',2
45738,b'bowl_s_001536.png',3
45740,b'bowl_s_001336.png',3
45744,b'computer_keyboard_s_000777.png',5
45745,b'plate_iron_s_000568.png',3
45746,b'rainbow_trout_s_000003.png',1
45757,b'sunflower_s_000334.png',2
45772,b'goblet_s_000767.png',3
45773,b'verpa_s_001148.png',4
45776,b'rose_s_001622.png',2
45782,b'golden_delicious_s_001176.png',4
45784,b'tv_s_000167.png',5
45790,b'bottle_s_001893.png',3
45795,b'mushroom_s_000891.png',4
45799,b'saucer_s_000605.png',3
45803,b'television_system_s_000696.png',5
45804,b'television_s_000556.png',5
45805,b'rainbow_trout_s_000309.png',1
45812,b'valencia_orange_s_000345.png',4
45819,b'orchid_s_001146.png',2
45820,b'sea_trout_s_000228.png',1
45824,b'tulip_s_000035.png',2
45830,b'pear_s_000441.png',4
45831,b'anjou_s_000981.png',4
45832,b'butterfly_orchid_s_000647.png',2
45835,b'isurus_paucus_s_000054.png',1
45852,b'sunflower_s_000163.png',2
45853,b'sunflower_s_000122.png',2
45861,b'telephone_s_001618.png',5
45864,b'cup_s_001492.png',3
45871,b'telephone_set_s_000937.png',5
45872,b'morel_s_000008.png',4
45877,b'chalice_s_001979.png',3
45884,b'keyboard_s_001815.png',5
45886,b'keyboard_s_000912.png',5
45888,b'chalice_s_002310.png',3
45890,b'shark_s_001922.png',1
45892,b'chalice_s_000338.png',3
45902,b'mushroom_s_000765.png',4
45906,b'bell_pepper_s_001063.png',4
45907,b'television_system_s_000799.png',5
45915,b'phone_s_002899.png',5
45917,b'dessert_plate_s_000477.png',3
45921,b'trout_s_002549.png',1
45923,b'orchid_s_001501.png',2
45932,b'soda_can_s_000657.png',3
45937,b'goblet_s_001080.png',3
45940,b'red_delicious_s_002219.png',4
45942,b'bowl_s_001315.png',3
45943,b'mushroom_s_000754.png',4
45944,b'fishbowl_s_000471.png',3
45947,b'halibut_s_000456.png',1
45951,b'telephone_set_s_001231.png',5
45954,b'orange_s_001164.png',4
45956,b'mushroom_s_002079.png',4
45958,b'electric_ray_s_000389.png',1
45967,b'yellow_delicious_s_000568.png',4
45973,b'goldfish_s_000657.png',1
45975,b'orchid_s_000173.png',2
45981,b'poppy_s_002053.png',2
45983,b'soda_can_s_000732.png',3
45986,b'clock_s_001653.png',5
45987,b'dessert_plate_s_000027.png',3
